index,time_s,prompt_tokens,completion_tokens,computed_tokens_per_sec,prompt_per_token_ms,predicted_ms,prompt_ms,prompt_per_second,predicted_n,predicted_per_token_ms,predicted_per_second,prompt_n,error
51,3.966678,169,202,50.924227,0.327578,3140.302209,55.360750,3052.704308,202,15.546051,64.325019,169,
52,4.303215,28,260,60.419944,0.812054,3552.255625,22.737500,1231.445849,260,13.662522,73.192931,28,
53,0.727134,88,27,37.132106,0.420771,409.294000,37.027875,2376.587908,27,15.159037,65.967251,88,
54,5.289645,388,318,60.117456,0.330099,4354.784167,128.078500,3029.392131,318,13.694290,73.023137,388,
55,3.164292,160,152,48.036016,0.346394,2363.306750,55.423000,2886.888115,152,15.548071,64.316661,160,
56,6.997686,855,411,58.733700,0.131016,5849.958667,112.018666,7632.656507,411,14.233476,70.256907,855,
57,2.091544,59,88,42.074191,0.391637,1340.334083,23.106584,2553.384784,88,15.231069,65.655273,59,
58,6.618663,37,393,59.377554,0.604446,5868.429125,22.364500,1654.407655,393,14.932390,66.968518,37,
59,1.800176,59,68,37.774076,0.390581,1043.487333,23.044250,2560.291613,68,15.345402,65.166100,59,
60,2.363477,353,94,39.771919,0.312494,1451.157083,110.310375,3200.061644,94,15.437841,64.775896,353,
61,1.198211,159,26,21.699019,0.342905,390.678042,54.521833,2916.262922,26,15.026079,66.550963,159,
62,1.641285,31,58,35.338170,0.721859,890.246042,22.377625,1385.312338,58,15.349070,65.150528,31,
63,1.429876,305,36,25.177005,0.294963,551.033959,89.963708,3390.255991,36,15.306499,65.331727,305,
64,3.142384,293,145,46.143306,0.308881,2265.120042,90.502000,3237.497514,145,15.621518,64.014267,293,
65,7.502364,1282,425,56.648810,0.080203,6169.184542,102.820125,12468.376206,425,14.515728,68.890791,1282,
66,1.303658,224,34,26.080465,0.318976,520.946542,71.450542,3135.035701,34,15.321957,65.265814,224,
67,10.711630,44,747,69.737284,0.517598,9963.783625,22.774292,1932.002979,747,13.338398,74.971520,44,
68,8.865007,36,571,64.410553,0.633494,8112.731334,22.805791,1578.546431,571,14.207936,70.383201,36,
69,5.120214,312,308,60.153731,0.293783,4235.176875,91.660208,3403.876195,308,13.750574,72.724235,312,
70,3.516167,33,178,50.623306,0.714550,2759.364875,23.580166,1399.481242,178,15.502050,64.507598,33,
71,1.909710,1313,38,19.898309,0.081559,547.396250,107.086750,12261.087389,38,14.405164,69.419548,1313,
72,5.259761,3940,56,10.646871,0.036221,953.325042,142.711583,27608.130449,56,17.023661,58.741770,3940,
73,8.454455,871,374,44.237031,0.132089,7302.593083,115.049167,7570.676283,374,19.525650,51.214684,871,
74,4.008571,442,217,54.134007,0.276800,3078.999416,122.345584,3612.717235,217,14.188937,70.477441,442,
75,1.771744,56,81,45.717669,0.520932,1215.706583,29.172167,1919.637989,81,15.008723,66.627919,56,
76,3.387047,208,179,52.848403,0.422817,2570.274125,87.945833,2365.092158,179,14.359073,69.642377,208,
77,4.275796,85,238,55.662147,0.477747,3535.538792,40.608500,2093.157836,238,14.855205,67.316473,85,
78,1.780528,36,56,31.451337,1.036016,1029.321958,37.296583,965.235877,56,18.380749,54.404746,36,
79,1.495889,142,47,31.419452,0.421494,782.694667,59.852208,2372.510635,47,16.653078,60.048959,142,
80,5.372585,519,235,43.740581,0.027611,4396.504125,14.330000,36217.725052,235,18.708528,53.451559,519,
81,4.549276,47,300,65.944561,0.667766,4205.810208,31.385000,1497.530668,300,14.019367,71.329895,47,
82,8.541806,617,305,35.706735,0.102293,7529.791375,63.114667,9775.857647,305,24.687841,40.505770,617,
83,1.798268,614,39,21.687531,0.086247,902.511708,52.955583,11594.622610,39,23.141326,43.212736,614,
84,7.835046,84,361,46.075035,0.443899,7172.958958,37.287542,2252.763135,361,19.869692,50.327905,84,
