index,time_s,prompt_tokens,completion_tokens,computed_tokens_per_sec,prompt_per_token_ms,predicted_ms,prompt_ms,prompt_per_second,predicted_n,predicted_per_token_ms,predicted_per_second,prompt_n,error
51,1.949648,169,202,103.608471,0.388632,1541.915792,65.678791,2573.128972,202,7.633246,131.005857,169,
52,2.205668,28,260,117.878117,0.469842,1952.366125,13.155584,2128.373776,260,7.509100,133.171743,28,
53,0.490764,88,27,55.016251,0.386071,198.930625,33.974208,2590.200190,27,7.367801,135.725708,88,
54,2.978830,388,318,106.753315,0.326004,2536.022958,126.489417,3067.450299,318,7.974915,125.393187,388,
55,1.438429,160,152,105.670821,0.334382,1122.949667,53.501125,2990.591319,152,7.387827,135.357803,160,
56,4.031916,855,411,101.936651,0.135250,3375.692875,115.638459,7393.733948,411,8.213365,121.752782,855,
57,1.931740,59,88,45.554781,0.441359,1188.240000,26.040166,2265.730564,88,13.502727,74.059113,59,
58,6.175246,37,393,63.641186,0.682923,5430.426333,25.268167,1464.292998,393,13.817879,72.370009,37,
59,1.664474,59,68,40.853747,0.429359,920.230375,25.332167,2329.054597,68,13.532800,73.894540,59,
60,2.184123,353,94,43.037862,0.335408,1257.455000,118.399084,2981.441985,94,13.377181,74.754166,353,
61,1.155946,159,26,22.492397,0.353018,358.072541,56.129834,2832.718158,26,13.772021,72.610985,159,
62,1.547735,31,58,37.474126,0.522729,794.320500,16.204584,1913.038928,58,13.695181,73.018385,31,
63,1.420649,305,36,25.340534,0.333413,510.623584,101.690833,2999.287065,36,14.183988,70.502031,305,
64,2.983108,293,145,48.607021,0.338217,2080.077209,99.097458,2956.685327,145,14.345360,69.708951,293,
65,5.129405,1282,425,82.855606,0.079170,3765.329000,101.496417,12630.987752,425,8.859598,112.871943,1282,
66,1.312311,224,34,25.908490,0.316436,484.770250,70.881708,3160.194729,34,14.257949,70.136317,224,
67,11.244161,44,747,66.434479,0.600599,10483.866916,26.426375,1665.003240,747,14.034628,71.252335,44,
68,8.228570,36,571,69.392372,0.822708,7470.509708,29.617500,1215.497594,571,13.083204,76.433874,36,
69,4.262367,312,308,72.260316,0.315223,3592.844708,98.349709,3172.353057,308,11.665080,85.725943,312,
