index,time_s,prompt_tokens,completion_tokens,computed_tokens_per_sec,prompt_per_token_ms,predicted_ms,prompt_ms,prompt_per_second,predicted_n,predicted_per_token_ms,predicted_per_second,prompt_n,error
0,3.577487,47,110,30.747840,5.803263,1525.754542,272.753375,172.316841,110,13.870496,72.095476,47,
1,8.037755,271,514,63.948203,0.334451,7162.412416,90.636125,2989.977782,514,13.934655,71.763530,271,
2,3.673526,580,188,51.176995,0.058565,2666.842000,33.967792,17074.998575,188,14.185330,70.495365,580,
3,5.611932,103,353,62.901685,0.428517,4833.714709,44.137208,2333.631978,353,13.693243,73.028720,103,
4,5.655604,33,353,62.415964,0.596644,4912.195167,19.689250,1676.041495,353,13.915567,71.861966,33,
5,6.767777,27,431,63.684128,0.599554,6034.208708,16.187958,1667.906477,431,14.000484,71.426101,27,
6,3.828961,22,223,58.240343,0.674125,3094.325625,14.830750,1483.404413,223,13.875900,72.067399,22,
7,2.998683,109,162,54.023712,0.405005,2230.761458,44.145584,2469.103138,162,13.770132,72.620943,109,
8,1.684901,32,69,40.951955,0.466418,953.521791,14.925375,2143.999732,69,13.819156,72.363317,32,
9,1.557440,331,46,29.535649,0.331423,651.844958,109.701000,3017.292459,46,14.170543,70.568928,331,
10,1.260953,169,34,26.963724,0.359532,464.417125,60.760959,2781.391255,34,13.659327,73.210048,169,
11,2.935707,341,145,49.391850,0.325153,2038.755875,110.877042,3075.478871,145,14.060385,71.121806,341,
12,2.246767,166,102,45.398564,0.369953,1429.709250,61.412166,2703.047471,102,14.016757,71.343177,166,
13,3.986031,81,361,90.566287,0.428050,3227.543208,34.672042,2336.176219,361,8.940563,111.849781,81,
14,3.224323,766,155,48.072103,0.112536,2121.159125,86.202500,8886.053189,155,13.684898,73.073254,766,
15,11.323188,62,762,67.295535,0.354491,10579.751792,21.978458,2820.944035,762,13.884189,72.024374,62,
16,1.116780,44,29,25.967508,0.509315,383.851500,22.409875,1963.420144,29,13.236259,75.550050,44,
17,3.435788,1551,105,30.560670,0.014097,1917.649917,21.864250,70937.717964,105,18.263333,54.754520,1551,
18,6.055367,581,301,49.707969,0.060724,5038.192792,35.280375,16468.078925,301,16.738182,59.743645,581,
19,7.078416,127,449,63.432267,0.335701,6313.088500,42.634000,2978.843177,449,14.060331,71.122082,127,
20,7.293056,720,456,62.525226,0.105865,6213.708958,76.222584,9446.019306,456,13.626555,73.386121,720,
21,4.279448,2139,145,33.882876,0.021608,2400.984875,46.220292,46278.374875,145,16.558516,60.391884,2139,
22,8.376323,46,474,56.588074,0.390334,7632.287708,17.955375,2561.906950,474,16.101873,62.104577,46,
23,2.794977,52,148,52.952127,0.457929,2049.818000,23.812291,2183.746201,148,13.850122,72.201532,52,
24,5.869687,27,364,62.013524,0.604079,5135.212958,16.310125,1655.413432,364,14.107728,70.883136,27,
25,1.392022,536,33,23.706514,0.028507,423.506167,15.279542,35079.585501,33,12.833520,77.920943,536,
26,2.327972,66,224,96.221104,0.501653,1572.662208,33.109084,1993.410630,224,7.020813,142.433638,66,
27,3.104416,303,159,51.217371,0.328697,2217.602333,99.595042,3042.320119,159,13.947184,71.699059,303,
28,4.924572,26,300,60.918999,0.604750,4193.119167,15.723500,1653.575858,300,13.977064,71.545784,26,
29,4.039031,575,223,55.211268,0.040877,3053.164750,23.504041,24463.878360,223,13.691322,73.038967,575,
30,3.747881,248,210,56.031659,0.325035,2901.102000,80.608625,3076.593851,210,13.814771,72.386286,248,
31,1.618084,67,62,38.316915,0.506047,859.634875,33.905125,1976.102433,62,13.865079,72.123644,67,
32,2.374906,123,116,48.844029,0.344050,1595.053250,42.318167,2906.553112,116,13.750459,72.724845,123,
33,4.867487,31,300,61.633452,0.518425,4135.269834,16.071166,1928.920403,300,13.784233,72.546656,31,
34,7.213041,32,465,64.466568,0.466388,6529.949750,14.924416,2144.137499,465,14.042903,71.210349,32,
35,8.390199,429,527,62.811384,0.323036,7427.437459,138.582375,3095.631750,527,14.093809,70.953139,429,
