index,time_s,prompt_tokens,completion_tokens,computed_tokens_per_sec,prompt_per_token_ms,predicted_ms,prompt_ms,prompt_per_second,predicted_n,predicted_per_token_ms,predicted_per_second,prompt_n,error
0,2.094699,47,110,52.513502,1.052916,1129.768625,49.487042,949.743571,110,10.270624,97.365069,47,
1,6.634864,271,514,77.469566,0.837276,5518.559791,226.901750,1194.349537,514,10.736498,93.140243,271,
2,3.472124,580,188,54.145528,0.136463,2043.964959,79.148541,7327.993576,188,10.872154,91.978093,580,
3,5.740099,103,353,61.497192,1.005023,4842.891792,103.517333,995.002450,353,13.719240,72.890334,103,
4,5.706845,33,353,61.855546,1.666681,4903.501291,55.000459,599.994993,353,13.890939,71.989376,33,
5,6.754168,27,431,63.812445,1.163096,5980.121541,31.403584,859.774477,431,13.874992,72.072114,27,
6,3.818690,22,223,58.396985,1.435648,3056.356458,31.584250,696.549704,223,13.705634,72.962694,22,
7,3.123404,109,162,51.866484,0.957480,2223.565333,104.365292,1044.408518,162,13.725712,72.855966,109,
8,1.709566,32,69,40.361130,0.985512,940.357750,31.536375,1014.701277,69,13.628373,73.376329,32,
9,1.681968,331,46,27.348910,0.840976,486.122250,278.362958,1189.094994,46,10.567875,94.626403,331,
10,1.440071,169,34,23.609948,0.915845,456.210375,154.777833,1091.887622,34,13.417952,74.527021,169,
11,2.742430,341,145,52.872812,0.819507,1544.841250,279.451958,1220.245521,145,10.654078,93.860777,341,
12,2.370713,166,102,43.025025,0.933309,1392.486375,154.929250,1071.456810,102,13.651827,73.250268,166,
13,5.909038,81,361,61.092858,0.998019,5048.383125,80.839541,1001.984907,361,13.984441,71.508043,81,
14,3.420322,766,155,45.317367,0.267073,1749.332292,204.577792,3744.296937,155,11.286015,88.605236,766,
15,11.238153,62,761,67.715754,0.902888,10421.983791,55.979084,1107.556530,761,13.695117,73.018728,62,
16,1.194828,44,29,24.271269,1.248723,387.939958,54.943792,800.818407,29,13.377240,74.753836,44,
17,3.823853,1551,105,27.459214,0.024253,1246.071459,37.617083,41231.267188,105,11.867347,84.264830,1551,
18,4.732895,581,301,63.597435,0.136346,3290.520208,79.217042,7334.280419,301,10.931961,91.474898,581,
19,6.028868,127,449,74.475005,0.828521,5131.236958,105.222125,1206.970492,449,11.428145,87.503267,127,
20,6.570651,720,456,69.399521,0.250600,5106.296541,180.431834,3990.426656,456,11.198019,89.301512,720,
21,5.210884,2139,145,27.826375,0.043806,1809.891500,93.701542,22827.799355,145,12.482010,80.115300,2139,
22,5.874360,46,474,80.689635,1.173061,5059.711875,53.960792,852.470809,474,10.674498,93.681224,46,
23,2.845639,52,148,52.009413,1.064853,2028.712625,55.372334,939.097131,148,13.707518,72.952669,52,
24,5.311853,27,364,68.525996,1.158434,4786.113209,31.277708,863.234608,364,13.148663,76.053362,27,
25,1.719621,536,33,19.190271,0.063969,354.885666,34.287625,15632.462149,33,10.754111,92.987695,536,
26,3.226091,66,224,69.433880,1.212424,2372.062625,80.020000,824.793802,224,10.589565,94.432583,66,
27,2.846841,303,159,55.851385,0.841674,1686.090458,255.027250,1188.108330,159,10.604343,94.300990,303,
28,4.441442,26,300,67.545633,1.282362,3654.743750,33.341417,779.810888,300,12.182479,82.085098,26,
29,3.819217,575,223,58.388933,0.097574,2439.431375,56.104833,10248.671447,223,10.939154,91.414746,575,
30,3.338440,248,210,62.903639,0.836501,2255.123208,207.452209,1195.456058,210,10.738682,93.121298,248,
31,1.703512,67,62,36.395404,1.217963,847.670334,81.603541,821.042803,62,13.672102,73.141642,67,
32,2.112971,123,116,54.899011,0.862829,1212.153500,106.127958,1158.978297,116,10.449599,95.697451,123,
33,4.586364,31,300,65.411298,1.012973,3818.718833,31.402167,987.193018,300,12.729063,78.560379,31,
34,6.307872,32,465,73.717418,0.988523,5536.467459,31.632750,1011.609803,465,11.906382,83.988573,32,
35,8.968353,429,649,72.365575,1.159839,7515.735292,497.570833,862.188801,649,11.580486,86.352163,429,
36,1.323708,30,40,30.218142,1.268644,543.759292,38.059333,788.242926,40,13.593982,73.561961,30,
37,1.306139,106,31,23.734065,0.987105,414.864917,104.633083,1013.063908,31,13.382739,74.723118,106,
38,6.153671,145,474,77.027193,0.890641,5213.179042,129.143000,1122.786369,474,10.998268,90.923407,145,
39,3.405474,1212,65,19.086918,0.168549,787.932833,204.281250,5932.996788,65,12.122044,82.494341,1212,
40,1.142127,38,25,21.888980,1.465623,342.058333,55.693667,682.303789,25,13.682333,73.086949,38,
41,1.061683,31,28,26.373223,1.003798,365.357667,31.117750,996.215986,28,13.048488,76.637231,31,
42,1.780178,66,79,44.377594,1.212314,927.617667,80.012708,824.868970,79,11.741996,85.164398,66,
43,1.910914,28,84,43.958013,1.108932,1146.969416,31.050084,901.768897,84,13.654398,73.236478,28,
44,4.311039,309,288,66.805235,0.823053,3148.483750,254.323458,1214.988198,288,10.932235,91.472602,309,
45,5.854972,321,408,69.684360,1.101510,4558.427000,353.584833,907.844370,408,11.172615,89.504559,321,
46,3.448472,1207,76,22.038746,0.159756,944.802875,192.825083,6259.559084,76,12.431617,80.440060,1207,
47,2.231918,613,87,38.979919,0.179123,943.587291,109.802667,5582.742357,87,10.845831,92.201327,613,
48,5.877385,468,400,68.057476,0.888408,4487.651167,415.775041,1125.608692,400,11.219128,89.133488,468,
49,2.011763,221,89,44.239808,1.044607,963.083583,230.858250,957.297389,89,10.821164,92.411502,221,
50,1.915635,84,76,39.673521,0.966961,1046.296708,81.224750,1034.167541,76,13.767062,72.637140,84,
51,3.671668,169,202,55.015868,0.915875,2774.473875,154.782833,1091.852350,202,13.735019,72.806597,169,
52,4.127617,28,260,62.990346,1.147368,3608.574667,32.126291,871.560306,260,13.879133,72.050608,28,
53,0.967854,88,27,27.896777,0.921246,366.190333,81.069667,1085.486141,27,13.562605,73.732148,88,
54,4.795318,388,318,66.314682,0.904415,3494.201125,350.913125,1105.686771,318,10.988054,91.007927,388,
55,2.911885,160,152,52.199858,0.937053,1950.944333,149.928542,1067.175055,152,12.835160,77.910988,160,
56,6.824387,855,411,60.225190,0.426963,4821.827625,365.053416,2342.122995,411,11.731941,85.237390,855,
57,2.000475,59,88,43.989542,1.155730,1212.538666,68.188084,865.253818,88,13.778848,72.575005,59,
58,5.463228,37,393,71.935499,1.480037,4651.972041,54.761375,675.658710,393,11.837079,84.480301,37,
59,1.624529,59,68,41.858290,1.052165,794.922250,62.077750,950.421045,68,11.690033,85.542957,59,
60,2.287627,353,94,41.090608,0.944720,1011.443500,333.486291,1058.514276,94,10.760037,92.936481,353,
61,1.293536,159,26,20.099939,0.823889,346.089208,130.998333,1213.755903,26,13.311123,75.125139,159,
62,1.357934,31,58,42.711941,1.016876,781.991750,31.523167,983.403730,58,13.482616,74.169580,31,
63,1.525222,305,36,23.603120,0.834483,375.850542,254.517417,1198.346281,36,10.440293,95.782754,305,
64,2.693555,293,145,53.832212,0.865399,1540.281375,253.562042,1155.535733,145,10.622630,94.138644,293,
65,7.758465,1282,425,54.778880,0.225439,5201.131250,289.012917,4435.787899,425,12.237956,81.712993,1282,
