index,time_s,prompt_tokens,completion_tokens,computed_tokens_per_sec,prompt_per_token_ms,predicted_ms,prompt_ms,prompt_per_second,predicted_n,predicted_per_token_ms,predicted_per_second,prompt_n,error
0,3.937861,47,110,27.933947,6.179428,1613.162583,290.433125,161.827271,110,14.665114,68.189035,47,
1,8.392500,271,514,61.245160,0.350602,7514.917958,95.013083,2852.238781,514,14.620463,68.397287,271,
2,3.776915,580,188,49.776076,0.059851,2774.600667,34.713375,16708.257264,188,14.758514,67.757498,580,
3,6.040263,103,353,58.441161,0.416920,5257.184250,42.942791,2398.539955,353,14.892873,67.146210,103,
4,6.002741,33,353,58.806464,0.693948,5259.007625,22.900292,1441.029660,353,14.898039,67.122930,33,
5,7.139255,27,431,60.370442,0.619505,6403.670458,16.726625,1614.192941,431,14.857704,67.305150,27,
6,4.014976,22,223,55.542044,0.676500,3280.578459,14.883000,1478.196600,223,14.711114,67.975817,22,
7,2.599889,109,162,62.310354,0.392649,1825.578458,42.798792,2546.800854,162,11.269003,88.738996,109,
8,1.725680,32,69,39.984234,0.518418,992.443583,16.589375,1928.945485,69,14.383240,69.525363,32,
9,1.574796,331,46,29.210131,0.352033,668.299041,116.523084,2840.638856,46,14.528240,68.831462,331,
10,1.288642,169,34,26.384371,0.374875,478.067667,63.353791,2667.559389,34,14.060814,71.119639,169,
11,2.961292,341,145,48.965111,0.342736,2062.241125,116.873000,2917.696987,145,14.222353,70.311856,341,
12,2.334922,166,102,43.684544,0.376222,1518.940333,62.452834,2658.005880,102,14.891572,67.152078,166,
13,5.972566,81,349,58.433849,0.421897,5239.235917,34.173625,2370.248986,349,15.012137,66.612767,81,
14,3.374246,766,155,45.936184,0.109920,2262.247125,84.198541,9097.544814,155,14.595143,68.515945,766,
15,12.037140,62,762,63.304076,0.361288,11293.333375,22.399833,2767.877778,762,14.820647,67.473435,62,
16,1.147889,44,29,25.263771,0.513257,403.261167,22.583292,1948.343049,29,13.905557,71.913694,44,
17,3.546198,1551,105,29.609178,0.015495,2012.354875,24.032333,64538.053796,105,19.165285,52.177676,1551,
18,5.400637,581,301,55.734169,0.061071,4390.146167,35.482167,16374.422678,301,14.585203,68.562637,581,
19,7.435238,127,449,60.388117,0.347209,6653.942334,44.095583,2880.107062,449,14.819471,67.478793,127,
20,4.967932,720,456,91.788688,0.099458,3889.079291,71.609792,10054.490872,456,8.528683,117.251402,720,
21,4.699298,2139,145,30.855672,0.021479,2787.951542,45.944083,46556.593588,145,19.227252,52.009512,2139,
22,8.816207,46,474,53.764618,0.457764,8066.873666,21.057125,2184.533739,474,17.018721,58.758823,46,
23,2.909097,52,148,50.874888,0.476626,2155.195666,24.784542,2098.081942,148,14.562133,68.671259,52,
24,6.212379,27,364,58.592687,0.536616,5463.053167,14.488625,1863.530873,364,15.008388,66.629408,27,
25,1.233266,536,33,26.758209,0.029786,259.112333,15.965167,33573.090717,33,7.851889,127.357890,536,
26,4.074027,66,224,54.982452,0.493204,3303.037208,32.551459,2027.558888,224,14.745702,67.816372,66,
27,3.223513,303,159,49.325065,0.350098,2325.167042,106.079583,2856.346070,159,14.623692,68.382184,303,
28,5.138007,26,300,58.388396,0.601373,4411.201833,15.635709,1662.860315,300,14.704006,68.008677,26,
29,4.273916,575,223,52.176975,0.041756,3284.326500,24.009875,23948.479532,223,14.727922,67.898243,575,
30,3.219113,248,210,65.235354,0.343362,2357.559792,85.153791,2912.377677,210,11.226475,89.075153,248,
31,1.292927,67,62,47.953221,0.499409,528.625667,33.460417,2002.365960,62,8.526220,117.285262,67,
32,2.514328,123,116,46.135588,0.351479,1727.662584,43.231875,2845.122956,116,14.893643,67.142740,123,
33,5.114999,31,300,58.651040,0.553676,4385.481458,17.163959,1806.110117,300,14.618272,68.407540,31,
34,7.775360,32,465,59.804308,0.468875,7036.092708,15.004000,2132.764596,465,15.131382,66.087816,32,
35,10.564816,429,649,61.430320,0.344316,9585.729042,147.711458,2904.310917,649,14.769999,67.704814,429,
36,1.316124,30,40,30.392268,0.540271,581.097291,16.208125,1850.923534,40,14.527432,68.835289,30,
37,0.975061,106,31,31.792895,0.407893,197.478833,43.236625,2451.625214,31,6.370285,156.978849,106,
38,7.629941,145,474,62.123676,0.366712,6830.433916,53.173250,2726.935066,474,14.410198,69.395298,145,
39,2.371461,1212,65,27.409262,0.057658,1047.379083,69.881625,17343.615006,65,16.113524,62.059670,1212,
40,0.514443,38,25,48.596225,0.624327,180.287291,23.724417,1601.725345,25,7.211492,138.667567,38,
41,0.467207,31,28,59.930577,0.467445,205.747250,14.490792,2139.289557,28,7.348116,136.089304,31,
42,0.849643,66,79,92.980187,0.476192,564.498792,31.428666,2099.993681,79,7.145554,139.947155,66,
43,0.925422,28,84,90.769429,0.526568,667.732959,14.743916,1899.088410,84,7.949202,125.798793,28,
44,2.271154,309,288,126.807767,0.335909,1873.088625,103.795875,2976.996918,288,6.503780,153.756740,309,
45,7.016475,321,408,58.148859,0.361885,6092.670334,116.165125,2763.307834,408,14.933016,66.965711,321,
46,3.000369,1207,93,30.996184,0.057861,1654.584208,69.838250,17282.792739,93,17.791228,56.207475,1207,
47,2.290818,613,87,37.977693,0.074502,1261.187583,45.669834,13422.426716,87,14.496409,68.982601,613,
48,6.818871,468,400,58.660734,0.337780,5831.845458,158.080834,2960.510697,400,14.579614,68.588923,468,
49,2.133747,221,89,41.710658,0.336392,1291.070833,74.342625,2972.722580,89,14.506414,68.935025,221,
50,1.604666,84,77,47.985051,0.401065,824.780458,33.689500,2493.358465,77,10.711435,93.358177,84,
51,3.812898,169,202,52.978078,0.370697,2984.841333,62.647875,2697.617437,202,14.776442,67.675289,169,
52,4.597870,28,260,56.547918,0.497256,3863.854125,13.923167,2011.036713,260,14.860977,67.290325,28,
53,1.148456,88,27,23.509817,0.384171,376.206666,33.807042,2603.007977,27,13.933580,71.769063,88,
54,5.593076,388,318,56.856016,0.352114,4647.946084,136.620375,2839.986349,318,14.616183,68.417317,388,
55,2.875621,160,152,52.858142,0.327835,2082.107125,52.453625,3050.313491,152,13.698073,73.002968,160,
56,4.621551,855,411,88.931185,0.131477,3449.600458,112.412834,7605.893114,411,8.393188,119.144233,855,
57,1.978732,59,88,44.472931,0.414865,1236.474666,24.477042,2410.421978,88,14.050848,71.170079,59,
58,6.719029,37,393,58.490597,0.632787,5972.866375,23.413125,1580.310189,393,15.198133,65.797554,37,
59,1.710777,59,68,39.748014,0.407282,957.515542,24.029625,2455.302569,68,14.081111,71.017124,59,
60,1.784021,353,94,52.689973,0.357704,849.664333,126.269375,2795.610575,94,9.038982,110.631924,353,
61,1.028557,159,26,25.278139,0.308243,228.328500,49.010625,3244.194499,26,8.781865,113.871024,159,
62,1.583730,31,58,36.622400,0.515819,847.893375,15.990375,1938.666229,58,14.618851,68.404827,31,
63,1.394275,305,36,25.819875,0.348275,511.043750,106.223959,2871.291965,36,14.195660,70.444067,305,
64,3.004171,293,145,48.266219,0.358759,2115.805334,105.116458,2787.384636,145,14.591761,68.531825,293,
65,6.210633,1282,425,68.431027,0.078788,4814.861667,101.005583,12692.367708,425,11.329086,88.268372,1282,
66,0.727472,224,34,46.737191,0.318422,362.164417,71.326583,3140.484103,34,10.651895,93.880013,224,
67,10.267248,44,747,72.755620,0.576574,9520.051042,25.369250,1734.383161,747,12.744379,78.465966,44,
68,6.183957,36,571,92.335695,0.642403,5424.287500,23.126500,1556.655784,571,9.499628,105.267282,36,
69,2.312825,312,308,133.170473,0.328406,1905.813708,102.462625,3045.012755,308,6.187707,161.610759,312,
70,3.431951,33,178,51.865540,0.641427,2672.423292,21.167083,1559.024453,178,15.013614,66.606215,33,
71,1.945321,1313,38,19.534050,0.085610,526.444334,112.405500,11680.923087,38,13.853798,72.182371,1313,
72,5.110580,3940,56,10.957661,0.046497,549.645000,183.198666,21506.706823,56,9.815089,101.883943,3940,
73,6.290031,871,374,59.459170,0.141501,5086.940167,123.247416,7067.085285,374,13.601444,73.521604,871,
74,4.166494,442,217,52.082160,0.334760,3213.692583,147.963917,2987.214782,217,14.809643,67.523571,442,
75,1.928346,56,81,42.004908,0.441500,1177.387083,24.724000,2265.005663,81,14.535643,68.796406,56,
76,3.459307,208,179,51.744471,0.349626,2623.130834,72.722208,2860.199184,179,14.654362,68.239067,208,
77,2.676546,85,128,47.822822,0.400365,1913.773000,34.031042,2497.719582,128,14.951352,66.883585,85,
78,1.548161,36,56,36.171952,0.618528,803.127417,22.267000,1616.742264,56,14.341561,69.727417,36,
79,1.403198,142,47,33.494922,0.373688,680.569417,53.063750,2676.026478,47,14.480200,69.059818,142,
80,4.451137,519,235,52.795504,0.030797,3478.152750,15.983708,32470.563151,235,14.800650,67.564600,519,
81,5.236419,47,300,57.291058,0.488418,4466.115584,22.955666,2047.424806,300,14.887052,67.172467,47,
82,5.048160,617,305,60.418052,0.071948,4041.605083,44.392000,13898.900703,305,13.251164,75.465067,617,
83,1.579700,614,39,24.688237,0.074656,554.322250,45.838792,13394.768344,39,14.213391,70.356187,614,
84,6.083679,84,361,59.339096,0.397614,5307.819000,33.399584,2515.001384,361,14.703100,68.012869,84,
85,9.430298,78,580,61.503886,0.433025,8638.843250,33.775917,2309.337745,580,14.894557,67.138618,78,
86,1.121139,264,15,13.379248,0.359873,207.577250,95.006500,2778.757243,15,13.838483,72.262254,264,
87,2.948226,773,124,42.059194,0.121085,1815.669833,93.599083,8258.627918,124,14.642499,68.294355,773,
88,3.797921,62,205,53.976901,0.393003,3049.215292,24.366166,2544.511927,205,14.874221,67.230412,62,
89,4.094449,72,234,57.150541,0.467921,3330.110250,33.690333,2137.111557,234,14.231240,70.267944,72,
90,1.076862,48,24,22.286979,0.460292,327.873625,22.094000,2172.535530,24,13.661401,73.198934,48,
91,3.124581,33,161,51.526901,0.681015,2381.506500,22.473500,1468.396111,161,14.791966,67.604266,33,
92,6.836461,348,440,64.360789,0.335274,5927.109875,116.675500,2982.631315,440,13.470704,74.235168,348,
93,3.670881,412,290,79.000108,0.328620,2909.793375,135.391375,3043.029883,290,10.033770,99.663434,412,
94,8.123129,47,506,62.291270,0.492789,7470.313083,23.161083,2029.266075,506,14.763465,67.734778,47,
95,4.307563,84,240,55.715958,0.401160,3538.424000,33.697459,2492.769559,240,14.743433,67.826807,84,
96,2.588556,26,219,84.603151,0.598675,1848.904458,15.565542,1670.356227,219,8.442486,118.448522,26,
97,1.909365,1839,87,45.564875,0.064996,734.714958,119.528000,15385.516364,87,8.445000,118.413269,1839,
98,2.097586,26,70,33.371689,0.756468,1357.476041,19.668167,1321.933050,70,19.392515,51.566288,26,
99,4.564711,25,196,42.938097,0.719008,3854.115083,17.975208,1390.804490,196,19.663852,50.854735,25,
