timestamp,0V8_AON_A_current_A,0V8_SW_A_current_A,1V1_SYS_A_current_A,1V8_SYS_A_current_A,3V3_ADC_A_current_A,3V3_DAC_A_current_A,3V3_SYS_A_current_A,3V7_WL_SW_A_current_A,DDR_VDD2_A_current_A,DDR_VDDQ_A_current_A,HDMI_A_current_A,VDD_CORE_A_current_A,0V8_AON_V_voltage_V,0V8_SW_V_voltage_V,1V1_SYS_V_voltage_V,1V8_SYS_V_voltage_V,3V3_ADC_V_voltage_V,3V3_DAC_V_voltage_V,3V3_SYS_V_voltage_V,3V7_WL_SW_V_voltage_V,BATT_V_voltage_V,DDR_VDD2_V_voltage_V,DDR_VDDQ_V_voltage_V,EXT5V_V_voltage_V,HDMI_V_voltage_V,VDD_CORE_V_voltage_V
2025-08-19T12:14:34.942184,0.00482295,0.628499,0.3464552,0.2635011,0.00018315,0.0,0.1610285,0.00195186,0.00585558,0.0102942,0.0106227,1.88423,0.8014645,0.8025633,1.106226,1.808545,3.313183,3.315015,3.309105,3.723903,0.0,1.112087,0.6032961,5.24208,5.2394,0.8778502
2025-08-19T12:14:35.970660,0.00482295,0.5553042,0.3454792,0.2625252,0.00018315,6.105e-05,0.1561488,0.00292779,0.01171116,0.0,0.010989,1.20555,0.8017574,0.8025633,1.107691,1.808057,3.313183,3.316846,3.309105,3.718336,0.0,1.107325,0.6010983,5.2461,5.24342,0.7671787
2025-08-19T12:14:36.995652,0.00518925,0.5543283,0.3454792,0.2635011,6.105e-05,0.0,0.1629803,0.00292779,0.00585558,0.0,0.010989,1.18769,0.8014645,0.8018308,1.107691,1.809034,3.314099,3.316846,3.341584,3.722976,0.0,1.112453,0.6010983,5.24476,5.24208,0.7674474
2025-08-19T12:14:38.020580,0.0053724,0.5826302,0.3669497,0.2742363,6.105e-05,0.0,0.223488,0.00195186,0.0712429,0.0,0.0112332,3.34875,0.8014645,0.8025633,1.107691,1.808545,3.314099,3.316846,3.327664,3.726687,0.0,1.109523,0.6032961,5.22064,5.22198,0.8786561
2025-08-19T12:14:39.046571,0.00518925,0.5757987,0.3454792,0.2625252,0.00018315,6.105e-05,0.1649322,0.00390372,0.04391685,0.0,0.0107448,1.35736,0.8017574,0.802197,1.106959,1.806592,3.313183,3.316846,3.308177,3.723903,0.0,1.111354,0.604395,5.23538,5.24208,0.79807
2025-08-19T12:14:40.074202,0.0050061,0.6470417,0.3591422,0.2761882,6.105e-05,0.0,0.1649322,0.00195186,0.1366302,0.0107844,0.0112332,4.78648,0.8014645,0.8010981,1.108058,1.808057,3.314099,3.314099,3.319313,3.722976,0.0,1.112087,0.6029298,5.21394,5.22064,0.8791933
2025-08-19T12:14:41.102036,0.0047619,0.571895,0.3454792,0.2839956,0.00018315,0.0,0.1639562,0.00097593,0.2527659,0.0117648,0.0112332,5.161539,0.8017574,0.802197,1.106959,1.809034,3.315015,3.315015,3.327664,3.728543,0.0,1.107691,0.6040287,5.21394,5.19652,0.8799991
2025-08-19T12:14:42.132960,0.0056166,0.6753436,0.3562145,0.2820438,6.105e-05,0.0,0.1600525,0.00097593,0.3005864,0.0593142,0.0111111,6.25993,0.8014645,0.8014644,1.107325,1.808057,3.315015,3.316846,3.310961,3.726687,0.0,1.104394,0.6032961,5.1925,5.20054,0.8853715
2025-08-19T12:14:43.161377,0.0053724,0.6821751,0.3454792,0.2693567,6.105e-05,0.0,0.1795711,0.00292779,0.09661707,0.066177,0.0111111,4.87578,0.8017574,0.802197,1.106226,1.809034,3.314099,3.316846,3.310033,3.723903,0.0,1.107325,0.6029298,5.21126,5.20858,0.8783874
2025-08-19T12:14:44.191544,0.00506715,0.6792473,0.3454792,0.2761882,6.105e-05,0.0,0.1590766,0.0,0.2498381,0.0754908,0.0112332,6.41174,0.8014645,0.8010981,1.10586,1.80708,3.315015,3.316846,3.308177,3.741535,0.0,1.106226,0.6032961,5.20858,5.20054,0.876507
2025-08-19T12:14:45.217377,0.0056166,0.558232,0.3445033,0.2732604,6.105e-05,0.0,0.2488621,0.00292779,0.02147046,0.0,0.0106227,4.25068,0.8017574,0.8010981,1.106226,1.807568,3.312268,3.315931,3.327664,3.724831,0.0,1.109889,0.6032961,5.20992,5.18714,0.8789246
2025-08-19T12:14:46.247573,0.0053724,0.558232,0.3464552,0.279116,6.105e-05,0.0,0.1600525,0.00390372,0.2068972,0.0,0.0106227,4.30426,0.8011714,0.8029296,1.10586,1.806592,3.314099,3.315931,3.326736,3.724831,0.0,1.113552,0.6040287,5.2059,5.19518,0.8778502
2025-08-19T12:14:47.277241,0.00482295,0.6821751,0.3454792,0.2800919,0.00018315,0.0,0.1561488,0.00097593,0.2713085,0.08382421,0.0108669,6.134909,0.8014645,0.8029296,1.106592,1.809034,3.312268,3.315931,3.307249,3.722976,0.0,1.106226,0.6036624,5.1992,5.18446,0.8783874
